time,Tin,Text,Heating_power
2017-12-04 00:00:00,17.776815530865775,5.119775805186416,7513.756433492916
2017-12-04 00:05:00,17.751286314928393,4.983854661050467,7350.287303085052
2017-12-04 00:10:00,17.74811459018798,4.820749288087328,7154.124346595617
2017-12-04 00:15:00,17.745662363938436,4.657643915124189,6957.961390106181
2017-12-04 00:20:00,17.743238174114083,4.494538542161051,6761.798433616746
2017-12-04 00:25:00,17.74082711165272,4.331433169197911,6565.63547712731
2017-12-04 00:30:00,17.737806826001076,4.161731983921906,6309.278176379494
2017-12-04 00:35:00,17.73756865839846,4.148540359296173,6188.889487862731
2017-12-04 00:40:00,17.738258373293206,4.128752922357574,6008.306455087588
2017-12-04 00:45:00,17.73892096340154,4.108965485418974,5827.723422312444
2017-12-04 00:50:00,17.739620995161772,4.089178048480374,5647.1403895373005
2017-12-04 00:55:00,17.740357877568044,4.069390611541775,5466.557356762158
2017-12-04 01:00:00,17.741215841375777,4.064404574280461,5381.097644999691
2017-12-04 01:05:00,17.74449960343202,4.0940073736350335,5571.344287025042
2017-12-04 01:10:00,17.751322475419897,4.138411572666892,5856.714250063071
2017-12-04 01:15:00,17.75781697382814,4.182815771698751,6142.0842131011
2017-12-04 01:20:00,17.764368266936458,4.227219970730609,6427.454176139127
2017-12-04 01:25:00,17.770981440638536,4.271624169762467,6712.824139177155
2017-12-04 01:30:00,17.779041628875973,4.33599400244109,6919.099661527345
2017-12-04 01:35:00,17.78549790815157,4.37592526973462,6760.910780151668
2017-12-04 01:40:00,17.79622992636041,4.435822170674914,6523.627458088154
2017-12-04 01:45:00,17.806408295547214,4.495719071615208,6286.344136024638
2017-12-04 01:50:00,17.816643208101937,4.555615972555502,6049.060813961122
2017-12-04 01:55:00,17.826944021058353,4.615512873495796,5811.777491897607
2017-12-04 02:00:00,17.83952113804372,4.680425385011667,5680.327956695376
2017-12-04 02:05:00,17.849575357035008,4.690456606162819,5891.995530417945
2017-12-04 02:10:00,17.86625374445623,4.705503437889548,6209.496891001798
2017-12-04 02:15:00,17.882080295452226,4.720550269616276,6526.99825158565
2017-12-04 02:20:00,17.897969048787388,4.7355971013430045,6844.499612169503
2017-12-04 02:25:00,17.913934456680693,4.750643933069734,7162.000972753356
2017-12-04 02:30:00,17.93344435055542,4.758489991757485,7401.050098596457
2017-12-04 02:35:00,17.944346797070466,4.744088445679531,7244.145629114953
2017-12-04 02:40:00,17.95999121641512,4.7224861265626,7008.788924892699
2017-12-04 02:45:00,17.974783865677637,4.700883807445669,6773.432220670443
2017-12-04 02:50:00,17.989607924619577,4.679281488328738,6538.075516448187
2017-12-04 02:55:00,18.00447880925634,4.657679169211807,6302.718812225932
2017-12-04 03:00:00,18.02266452426838,4.619710206907787,6170.200435163668
2017-12-04 03:05:00,18.032859721104955,4.586976920533609,6375.877089483651
2017-12-04 03:10:00,18.0475612264342,4.537876990972342,6684.392070963625
2017-12-04 03:15:00,18.061461551496905,4.488777061411074,6992.907052443599
2017-12-04 03:20:00,18.075373983812995,4.439677131849807,7301.422033923574
2017-12-04 03:25:00,18.089313889935056,4.39057720228854,7609.937015403549
2017-12-04 03:30:00,18.106377679037564,4.336226851851852,7972.213299034944
2017-12-04 03:35:00,18.11552899055522,4.32572601010101,8079.735903337784
2017-12-04 03:40:00,18.128348964615554,4.309974747474747,8241.019809792046
2017-12-04 03:45:00,18.14028415696697,4.2942234848484855,8402.303716246308
2017-12-04 03:50:00,18.15204459624067,4.278472222222223,8563.587622700568
2017-12-04 03:55:00,18.163643779798576,4.26272095959596,8724.871529154829
2017-12-04 04:00:00,18.177625414561906,4.252022268511631,8750.837107699366
2017-12-04 04:05:00,18.18765947534638,4.262127411595497,8480.200451879917
2017-12-04 04:10:00,18.20398821862534,4.2772851262212965,8074.245468150741
2017-12-04 04:15:00,18.21958036941777,4.292442840847096,7668.290484421567
2017-12-04 04:20:00,18.235284527583417,4.307600555472897,7262.335500692392
2017-12-04 04:25:00,18.251117472083763,4.322758270098697,6856.380516963218
2017-12-04 04:30:00,18.270646024583044,4.349197876044803,6881.1810243892505
2017-12-04 04:35:00,18.282242051131448,4.371761658685418,7742.692006699665
2017-12-04 04:40:00,18.299500659921307,4.4056073326463405,9034.958480165287
2017-12-04 04:45:00,18.31584354231921,4.439453006607263,10327.22495363091
2017-12-04 04:50:00,18.33219851566639,4.473298680568184,11619.491427096536
2017-12-04 04:55:00,18.348583739340256,4.507144354529106,12911.757900562156
2017-12-04 05:00:00,,4.53609346312124,14078.611984118124
2017-12-04 05:05:00,,4.5263003323836655,13827.78720429881
2017-12-04 05:10:00,,4.511610636277303,13451.550034569842
2017-12-04 05:15:00,,4.49692094017094,13075.312864840873
2017-12-04 05:20:00,,4.482231244064577,12699.075695111904
2017-12-04 05:25:00,,4.467541547958215,12322.838525382936
2017-12-04 05:30:00,,4.425075570520015,12153.45172117289
2017-12-04 05:35:00,,4.369523007856341,12567.152452210736
2017-12-04 05:40:00,,4.286194163860831,13187.703548767508
2017-12-04 05:45:00,,4.20286531986532,13808.254645324278
2017-12-04 05:50:00,,4.119536475869809,14428.805741881048
2017-12-04 05:55:00,,4.036207631874299,15049.356838437818
2017-12-04 06:00:00,,3.940729941963495,15629.65518600299
2017-12-04 06:05:00,18.58354206044754,3.916432250132908,15549.149688019796
2017-12-04 06:10:00,18.60175190829102,3.879985712387029,15428.391441045003
2017-12-04 06:15:00,18.619016723014965,3.843539174641149,15307.633194070211
2017-12-04 06:20:00,18.636278521739712,3.807092636895269,15186.87494709542
